3.5209e-09,0.97912,12.695
1.123e-08,0.89721,11.271
0.010956,0.95793,13.739
2.4903e-09,0.98887,12.152
0.002654,0.95523,12.533
8.1127e-10,0.93508,11.182
9.4657e-10,0.88694,10.875
8.9139e-11,1.035,13.022
2.3361e-09,0.90043,11.271
3.9562e-09,1.1653,14.803
0.0018813,1.0028,13.158
2.5475e-09,0.97791,11.316
2.2863e-09,1.0048,12.948
2.6272e-09,1.0271,12.733
3.7066e-09,1.1015,13.421
4.5147e-07,0.98493,12.498
5.698e-10,0.99865,11.728
0.011807,1.1021,15.663
0.01283,0.95294,13.929
1.1142e-08,1.0255,13.097
1.0449e-09,1.0623,13.202
1.8514e-07,0.90828,11.204
3.9469e-09,1.305,16.205
1.0168e-09,0.99694,12.012
2.2469e-09,1.0422,12.648
1.0921e-09,1.0215,12.527
3.7491e-09,0.87893,10.821
0.010502,1.0466,15.041
4.5204e-09,1.0397,12.877
0.011042,1.0401,14.934
5.66e-10,1.1443,13.982
2.679e-09,0.90546,10.481
0.0029371,0.97086,12.704
2.3624e-09,0.86461,10.222
9.2775e-09,0.93577,11.696
0.017222,0.93777,13.819
0.0020168,1.0924,14.335
0.015199,1.0085,14.453
2.0281e-09,0.94951,11.121
4.0002e-11,1.0451,12.454
0.0079058,1.1582,16.408
2.5193e-09,1.0506,12.145
8.7526e-09,0.98623,12.437
0.0029243,0.98786,13.318
0.0024244,0.97468,12.713
4.0334e-07,1.0504,13.259
5.1798e-10,0.81064,9.2241
0.0096031,1.1336,15.959
3.4523e-09,1.0326,12.343
5.3299e-10,0.84115,9.4537
0.015911,1.1765,17.562
1.2811e-08,0.853,10.792
0.015809,1.279,19.699
2.9421e-09,0.95708,11.371
8.1058e-09,0.93373,11.724
1.1095e-09,1.0656,13.223
3.035e-07,0.96707,11.262
9.4202e-11,1.0345,12.86
0.0183,0.99174,15.143
3.7323e-09,1.1148,14.075
0.0014684,0.95561,12.318
0.024734,1.0771,16.734
1.4063e-09,0.91327,11.312
0.0034205,0.94269,12.312
1.7829e-09,0.86785,10.676
0.00072151,0.99387,12.939
1.552e-08,0.75891,9.4116
0.025904,1.0958,17.162
5.1825e-09,0.94228,11.441
0.010753,0.93429,13.325
0.019884,1.0428,15.888
0.024303,1.034,17.478
5.3158e-10,0.99496,11.771
6.5963e-07,1.1542,14.455
5.8656e-10,0.82162,9.7783
1.5775e-09,0.90547,11.177
0.007778,0.88685,12.608
3.4929e-10,0.97495,10.992
1.0253e-08,1.0575,13.674
2.8497e-09,0.97182,11.483
0.013574,0.89201,13.064
0.0048739,1.0192,13.635
0.0065151,0.96326,13.091
1.2514e-09,0.90728,10.836
7.3728e-11,1.1546,14.274
7.0539e-09,0.91855,11.527
0.016028,1.0307,15.827
1.0875e-08,0.91057,11.671
0.010059,1.0701,15.245
9.1818e-09,0.99466,12.609
4.9214e-08,1.0295,13.348
4.0439e-09,1.0446,12.55
0.016156,1.0383,15.641
0.00051913,0.92627,12.01
